binary_name,binary_size_bytes,data_section_size_bytes,import_count,export_count,function_count,global_variable_count,type_definition_count,instance_count,resource_count,total_local_variables,max_local_variables_per_function,avg_local_variables_per_function,high_complexity_functions,linear_memory_bytes,stack_pointer_offset,total_function_references,is_ml_workload,request_payload_size,model_file_size,payload,memory_kb, task_duration_sec
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,128,0,0,8,0,2,26368,0.225327583
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,128,0,0,9,0,38,26896,0.221420171
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,128,0,0,9,0,48,26368,0.22970457
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,128,0,0,9,0,10,26880,0.222017597
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,128,0,0,9,0,15,26320,0.217902351
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,128,0,0,9,0,29,26416,0.229535625
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,128,0,0,9,0,44,26896,0.22599412
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,128,0,0,8,0,1,26416,0.229577698
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,128,0,0,9,0,50,26400,0.225677676
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,128,0,0,9,0,28,26400,0.225182007
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,128,0,0,9,0,32,26304,0.229567253
