binary_name,binary_size_bytes,data_section_size_bytes,import_count,export_count,function_count,global_variable_count,type_definition_count,instance_count,resource_count,total_local_variables,max_local_variables_per_function,avg_local_variables_per_function,high_complexity_functions,linear_memory_bytes,total_function_references,is_ml_workload,request_payload_size,model_file_size,payload,memory_kb, task_duration_sec
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,0,0,9,0,13,25856,0.258594648
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,0,0,8,0,3,25408,0.24412484
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,0,0,9,0,50,25888,0.231911986
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,0,0,9,0,26,25872,0.244033803
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,0,0,9,0,22,25392,0.240295748
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,0,0,9,0,37,25872,0.235823653
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,0,0,9,0,26,25376,0.236348915
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,0,0,9,0,30,25376,0.228137432
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,0,0,9,0,45,25376,0.236507841
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,0,0,9,0,17,25888,0.235791449
/home/pi/memory-estimator/wasm-modules/fibonacci_optimized.cwasm,689248,38,58,110,606,4,714,25,0,1165,33,4.4129,22,1114112,0,0,9,0,47,25856,0.231801375
